game_pk,game_date,n_entries,total_invested,avg_entry_mid,first_entry_mid,min_entry_mid,max_entry_mid,avg_spread,avg_depth_ratio,entry_duration_seconds,home_favored_at_avg,home_won,pnl_per_dollar,game_pnl
823244,2026-03-26,100,100.0,0.1012,0.22,0.055,0.225,0.014000000000000004,0.38254835419751665,2591,0,0,-0.1012,-10.12
823649,2026-03-26,100,100.0,0.52425,0.52,0.52,0.525,0.01150000000000001,0.36398431715327584,459,1,1,0.47575,47.575
823812,2026-03-26,100,100.0,0.5781999999999998,0.59,0.53,0.625,0.014999999999999993,0.36978969971892284,534,1,1,0.4218000000000002,42.18000000000002
824704,2026-03-26,100,100.0,0.6562000000000002,0.675,0.655,0.675,0.010000000000000009,0.3975831896001592,4759,1,0,-0.6562000000000002,-65.62000000000002
824865,2026-03-26,100,100.0,0.5666499999999998,0.5700000000000001,0.565,0.5700000000000001,0.013299999999999899,0.39461062983837847,1392,1,1,0.43335000000000024,43.33500000000002
824218,2026-03-26,100,100.0,0.5225,0.63,0.355,0.66,0.025599999999999977,0.32142601299124407,6219,1,0,-0.5225,-52.25
824541,2026-03-26,100,100.0,0.44630000000000003,0.445,0.20500000000000002,0.625,0.014400000000000001,0.31581610534197263,6466,0,0,-0.44630000000000003,-44.63
823325,2026-03-26,100,100.0,0.30385,0.46499999999999997,0.08499999999999999,0.46499999999999997,0.0115,0.1948723441855173,8852,0,0,-0.30385,-30.385
823486,2026-03-26,100,100.0,0.585,0.585,0.585,0.585,0.010000000000000009,0.39412057025812486,455,1,1,0.41500000000000004,41.5
823081,2026-03-26,100,100.0,0.49079999999999996,0.445,0.44,0.65,0.017200000000000014,0.24243081023529747,3903,0,1,0.5092000000000001,50.92000000000001
823163,2026-03-27,100,100.0,0.6759999999999998,0.635,0.63,0.685,0.010599999999999972,0.37317491102864303,440,1,0,-0.6759999999999998,-67.59999999999998
823243,2026-03-27,100,100.0,0.44525,0.44,0.44,0.455,0.01210000000000001,0.34727490714461956,67,0,0,-0.44525,-44.525
823893,2026-03-27,100,100.0,0.6349999999999998,0.635,0.635,0.635,0.010000000000000009,0.3951731194259539,1082,1,1,0.3650000000000002,36.50000000000002
824946,2026-03-27,100,100.0,0.5649999999999997,0.565,0.565,0.565,0.009999999999999898,0.3827679989209585,476,1,1,0.4350000000000003,43.50000000000003
822839,2026-03-27,100,100.0,0.6100000000000001,0.61,0.61,0.61,0.020000000000000018,0.3849101629709289,603,1,1,0.3899999999999999,38.99999999999999
824216,2026-03-28,100,100.0,0.2341999999999999,0.555,0.11499999999999999,0.555,0.022199999999999987,0.37161263975150993,3145,0,0,-0.2341999999999999,-23.41999999999999
823324,2026-03-28,100,100.0,0.57475,0.595,0.535,0.605,0.014700000000000006,0.23963583985583875,2025,1,0,-0.57475,-57.475
823162,2026-03-28,100,100.0,0.7719999999999998,0.575,0.44,0.98,0.017999999999999995,0.3538982486297971,5964,1,1,0.2280000000000002,22.80000000000002
823971,2026-03-28,100,100.0,0.6850000000000003,0.685,0.685,0.685,0.009999999999999898,0.33578328508604083,686,1,1,0.3149999999999997,31.49999999999997
823082,2026-03-28,100,100.0,0.5050000000000001,0.505,0.505,0.505,0.010000000000000009,0.3741533603677932,136,1,1,0.4949999999999999,49.499999999999986
824701,2026-03-28,100,100.0,0.6848000000000003,0.675,0.675,0.685,0.0099999999999999,0.3911899816541478,1494,1,1,0.3151999999999997,31.51999999999997
822838,2026-03-28,100,100.0,0.645,0.645,0.645,0.645,0.010000000000000009,0.3895666522514552,613,1,1,0.355,35.5
824862,2026-03-28,100,100.0,0.605,0.605,0.605,0.605,0.010000000000000009,0.38666092127417956,1488,1,0,-0.605,-60.5
823488,2026-03-28,100,100.0,0.41665000000000013,0.46499999999999997,0.23,0.495,0.020099999999999996,0.3739490865837348,1993,0,0,-0.41665000000000013,-41.66500000000001
823892,2026-03-28,100,100.0,0.6452500000000001,0.645,0.55,0.67,0.014700000000000012,0.3813309541326646,3159,1,1,0.3547499999999999,35.47499999999999
824540,2026-03-28,100,100.0,0.5557500000000001,0.485,0.47,0.835,0.01790000000000001,0.19121174054659787,10769,1,1,0.4442499999999999,44.42499999999999
823651,2026-03-28,100,100.0,0.6150000000000002,0.615,0.615,0.615,0.010000000000000009,0.39767029471298193,460,1,1,0.3849999999999998,38.49999999999998
823811,2026-03-28,98,98.0,0.9067346938775511,0.645,0.645,0.95,0.019999999999999966,0.33896853273149596,6937,1,1,0.09326530612244888,9.13999999999999
824213,2026-03-28,100,100.0,0.5549999999999999,0.555,0.555,0.555,0.010000000000000009,0.3889756549516596,810,1,1,0.44500000000000006,44.50000000000001
823241,2026-03-28,100,100.0,0.45625,0.46499999999999997,0.42,0.46499999999999997,0.02009999999999999,0.1822541370328046,1678,0,0,-0.45625,-45.625
824945,2026-03-28,100,100.0,0.5839500000000001,0.585,0.575,0.585,0.010100000000000008,0.3773239394971783,4331,1,1,0.4160499999999999,41.60499999999999
823323,2026-03-29,100,100.0,0.5149999999999999,0.515,0.515,0.515,0.010000000000000009,0.3986971456349187,1310,1,1,0.4850000000000001,48.50000000000001
823973,2026-03-29,100,100.0,0.6912999999999998,0.69,0.685,0.695,0.013399999999999952,0.3956503196626556,8701,1,1,0.3087000000000002,30.87000000000002
823161,2026-03-29,100,100.0,0.6126,0.625,0.605,0.625,0.01120000000000001,0.3695431780136201,6534,1,0,-0.6126,-61.260000000000005
824944,2026-03-29,100,100.0,0.5900000000000001,0.59,0.59,0.59,0.020000000000000018,0.3965471399351043,908,1,0,-0.5900000000000001,-59.00000000000001
823487,2026-03-29,100,100.0,0.5949999999999998,0.595,0.595,0.595,0.010000000000000009,0.3912192957583375,827,1,0,-0.5949999999999998,-59.49999999999997
822837,2026-03-29,100,100.0,0.58535,0.585,0.585,0.595,0.01050000000000001,0.3928951951876508,4233,1,1,0.41464999999999996,41.464999999999996
824864,2026-03-29,100,100.0,0.5949999999999998,0.595,0.595,0.595,0.010000000000000009,0.3879538384618765,646,1,1,0.40500000000000025,40.50000000000003
823891,2026-03-29,100,100.0,0.64035,0.635,0.635,0.645,0.019100000000000016,0.3918814772318694,2186,1,1,0.35965,35.965
823647,2026-03-29,100,100.0,0.6349999999999998,0.635,0.635,0.635,0.010000000000000009,0.39216028612640974,326,1,0,-0.6349999999999998,-63.49999999999998
824538,2026-03-29,100,100.0,0.5217999999999999,0.535,0.51,0.535,0.01980000000000002,0.34605930948382324,103,1,1,0.47820000000000007,47.82000000000001
824215,2026-03-29,100,100.0,0.4342999999999999,0.85,0.29000000000000004,0.85,0.023199999999999995,0.3741239717867472,2573,0,1,0.5657000000000001,56.57000000000001
823810,2026-03-29,100,100.0,0.605,0.605,0.605,0.605,0.010000000000000009,0.3843239152833045,445,1,1,0.395,39.5
823079,2026-03-29,100,100.0,0.22019999999999995,0.475,0.14500000000000002,0.475,0.017600000000000005,0.3519388973097079,1094,0,0,-0.22019999999999995,-22.019999999999996
824700,2026-03-29,100,100.0,0.7027,0.695,0.695,0.705,0.013000000000000012,0.3943571661465826,644,1,0,-0.7027,-70.27
823160,2026-03-29,100,100.0,0.5750000000000002,0.575,0.575,0.575,0.010000000000000009,0.3945964288177507,367,1,1,0.4249999999999998,42.499999999999986
824135,2026-03-30,100,100.0,0.605,0.605,0.605,0.605,0.010000000000000009,0.3336267690619863,700,1,1,0.395,39.5
824863,2026-03-30,100,100.0,0.4326000000000001,0.375,0.37,0.525,0.01720000000000001,0.168951641822362,640,0,0,-0.4326000000000001,-43.26000000000001
823890,2026-03-30,100,100.0,0.5700000000000002,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.01999999999999991,0.3754166611537042,574,1,0,-0.5700000000000002,-57.000000000000014
824539,2026-03-30,89,89.0,0.6201123595505619,0.59,0.565,0.885,0.019325842696629184,0.19306741917724854,7542,1,1,0.3798876404494381,33.809999999999995
823484,2026-03-30,100,100.0,0.6150000000000002,0.615,0.615,0.615,0.010000000000000009,0.3660438497138719,850,1,0,-0.6150000000000002,-61.50000000000002
822834,2026-03-30,100,100.0,0.7232499999999996,0.72,0.72,0.725,0.013500000000000012,0.3829115525623256,684,1,0,-0.7232499999999996,-72.32499999999996
824943,2026-03-30,100,100.0,0.5649999999999997,0.565,0.565,0.565,0.009999999999999898,0.3898677164409736,515,1,1,0.4350000000000003,43.50000000000003
824702,2026-03-30,1,1.0,0.85,0.85,0.85,0.85,0.020000000000000018,0.32989071105278006,0,1,1,0.15000000000000002,0.15000000000000002
823809,2026-03-30,100,100.0,0.605,0.605,0.605,0.605,0.010000000000000009,0.3891559580299367,418,1,0,-0.605,-60.5
823080,2026-03-30,100,100.0,0.37169999999999986,0.38,0.125,0.485,0.018000000000000002,0.30821535452802434,5141,0,0,-0.37169999999999986,-37.16999999999999
823320,2026-03-31,100,100.0,0.5174500000000001,0.525,0.375,0.565,0.028699999999999993,0.37805354484134407,1515,1,0,-0.5174500000000001,-51.745000000000005
823159,2026-03-31,85,85.0,0.5335294117647059,0.475,0.475,0.655,0.016000000000000014,0.18747087608245944,2796,1,1,0.4664705882352941,39.65
823972,2026-03-31,100,100.0,0.6349999999999998,0.635,0.635,0.635,0.010000000000000009,0.36268429584449374,647,1,0,-0.6349999999999998,-63.49999999999998
824861,2026-03-31,100,100.0,0.24819999999999998,0.225,0.22499999999999998,0.28500000000000003,0.018400000000000007,0.38637128243603364,468,0,0,-0.24819999999999998,-24.819999999999997
824537,2026-03-31,100,100.0,0.2503500000000001,0.47,0.13,0.47,0.016500000000000004,0.36592615778146503,2130,0,0,-0.2503500000000001,-25.035000000000007
823888,2026-03-31,20,20.0,0.5589999999999999,0.565,0.545,0.565,0.00999999999999993,0.3747625232827173,25,1,1,0.44100000000000006,8.82
823485,2026-03-31,100,100.0,0.6291000000000001,0.635,0.625,0.635,0.013800000000000012,0.3909640444005173,4031,1,1,0.3708999999999999,37.08999999999999
822836,2026-03-31,100,100.0,0.7049999999999998,0.705,0.705,0.705,0.010000000000000009,0.38292391736511067,525,1,1,0.29500000000000015,29.500000000000014
824942,2026-03-31,100,100.0,0.5949999999999998,0.595,0.595,0.595,0.010000000000000009,0.393749775689362,765,1,0,-0.5949999999999998,-59.49999999999997
823807,2026-03-31,100,100.0,0.5349999999999999,0.535,0.535,0.535,0.010000000000000009,0.3826606644619789,574,1,1,0.4650000000000001,46.50000000000001
823077,2026-03-31,45,45.0,0.4694444444444444,0.455,0.42,0.865,0.022000000000000006,0.11562405403956855,6081,0,1,0.5305555555555557,23.875000000000004
824212,2026-04-01,100,100.0,0.5750000000000002,0.575,0.575,0.575,0.010000000000000009,0.34628878768711163,888,1,1,0.4249999999999998,42.499999999999986
825107,2026-04-01,100,100.0,0.5149999999999999,0.515,0.515,0.515,0.010000000000000009,0.3689824198809618,791,1,1,0.4850000000000001,48.50000000000001
823322,2026-04-01,100,100.0,0.20959999999999993,0.215,0.185,0.245,0.015600000000000003,0.3630834074741241,741,0,0,-0.20959999999999993,-20.959999999999994
823158,2026-04-01,100,100.0,0.30655000000000004,0.385,0.21000000000000002,0.385,0.016099999999999993,0.20097487809027947,3690,0,0,-0.30655000000000004,-30.655000000000005
823969,2026-04-01,100,100.0,0.7150000000000002,0.715,0.715,0.715,0.010000000000000009,0.398712151886947,711,1,1,0.2849999999999998,28.499999999999982
824940,2026-04-01,73,73.0,0.8815068493150684,0.675,0.655,0.975,0.010136986301369872,0.3884264106492298,10953,1,1,0.1184931506849316,8.650000000000007
824860,2026-04-01,26,26.0,0.7667307692307692,0.545,0.53,0.885,0.024230769230769247,0.375386057625036,3167,1,1,0.23326923076923078,6.065
824536,2026-04-01,100,100.0,0.16880000000000003,0.185,0.15000000000000002,0.185,0.013600000000000008,0.2453612408047225,146,0,0,-0.16880000000000003,-16.880000000000003
823483,2026-04-01,100,100.0,0.14130000000000004,0.8049999999999999,0.08,0.8049999999999999,0.016799999999999995,0.38746883654085734,6682,0,1,0.8587,85.87
822835,2026-04-01,100,100.0,0.7249999999999995,0.725,0.725,0.725,0.010000000000000009,0.39420932717793167,1558,1,0,-0.7249999999999995,-72.49999999999996
823889,2026-04-01,100,100.0,0.585,0.585,0.585,0.585,0.010000000000000009,0.39007918750337717,634,1,1,0.41500000000000004,41.5
823806,2026-04-01,100,100.0,0.5750000000000002,0.575,0.575,0.575,0.010000000000000009,0.38770964531368735,1723,1,1,0.4249999999999998,42.499999999999986
824211,2026-04-01,100,100.0,0.42499999999999977,0.425,0.425,0.425,0.010000000000000009,0.38812213180097943,1837,0,1,0.5750000000000002,57.500000000000014
823078,2026-04-01,100,100.0,0.38239999999999985,0.385,0.375,0.385,0.01180000000000001,0.28156698706996397,3232,0,1,0.6176000000000001,61.76000000000001
824698,2026-04-01,5,5.0,0.6649999999999999,0.61,0.575,0.775,0.017999999999999995,0.37614594302414794,1597,1,1,0.3350000000000001,1.6750000000000003
825106,2026-04-01,66,66.0,0.7282575757575758,0.51,0.505,0.915,0.03833333333333333,0.36425714321621583,5540,1,1,0.27174242424242423,17.935
823321,2026-04-01,100,100.0,0.66755,0.705,0.61,0.715,0.01909999999999998,0.3696296767142414,895,1,1,0.33245,33.245000000000005
823157,2026-04-01,100,100.0,0.43015000000000003,0.4,0.385,0.505,0.0161,0.30706959417312585,625,0,0,-0.43015000000000003,-43.015
824136,2026-04-01,100,100.0,0.49499999999999994,0.495,0.495,0.495,0.010000000000000009,0.38655974474321975,321,0,1,0.5050000000000001,50.500000000000014
823970,2026-04-02,100,100.0,0.7150000000000002,0.715,0.715,0.715,0.010000000000000009,0.369527337383037,669,1,0,-0.7150000000000002,-71.50000000000001
824133,2026-04-02,100,100.0,0.5793999999999998,0.595,0.555,0.595,0.00999999999999997,0.2569794095593858,124,1,0,-0.5793999999999998,-57.93999999999998
822758,2026-04-03,100,100.0,0.5949500000000001,0.605,0.585,0.615,0.012500000000000011,0.35742255075668594,78,1,0,-0.5949500000000001,-59.49500000000001
824299,2026-04-03,100,100.0,0.6199999999999999,0.62,0.62,0.62,0.020000000000000018,0.38591400008499677,723,1,1,0.3800000000000001,38.000000000000014
823568,2026-04-03,100,100.0,0.6150000000000002,0.615,0.615,0.615,0.010000000000000009,0.3925362274407288,564,1,1,0.3849999999999998,38.49999999999998
824786,2026-04-03,3,3.0,0.6916666666666665,0.525,0.525,0.965,0.01666666666666668,0.30873681498823274,6854,1,1,0.30833333333333346,0.9250000000000004
