game_pk,game_date,n_entries,total_invested,game_cap,avg_entry_mid,first_entry_mid,min_entry_mid,max_entry_mid,avg_spread,avg_depth_ratio,entry_duration_seconds,home_favored_at_avg,home_won,pnl_per_dollar,game_pnl
823244,2026-03-26,285,285.0,1000.0,0.05150877192982456,0.22,0.02,0.225,0.015929824561403506,0.3179821237166474,3633,0,0,-0.05150877192982456,-14.68
823649,2026-03-26,1000,1000.0,1000.0,0.5249250000000002,0.52,0.52,0.525,0.01015000000000001,0.3494971546822478,4125,1,1,0.4750749999999998,475.0749999999998
823812,2026-03-26,655,655.0,1000.0,0.6151450381679389,0.59,0.525,0.91,0.014839694656488548,0.36482658884111535,4068,1,1,0.38485496183206114,252.08000000000004
824704,2026-03-26,1000,1000.0,1000.0,0.615895,0.675,0.46499999999999997,0.685,0.010770000000000005,0.3874798303305964,10267,1,0,-0.615895,-615.895
824865,2026-03-26,1000,1000.0,1000.0,0.5651649999999997,0.5700000000000001,0.565,0.5700000000000001,0.010329999999999898,0.38350213599743427,6059,1,1,0.4348350000000003,434.8350000000003
824218,2026-03-26,1000,1000.0,1000.0,0.12368000000000001,0.63,0.025,0.66,0.015680000000000003,0.28023982337824377,9199,0,0,-0.12368000000000001,-123.68
824541,2026-03-26,423,423.0,1000.0,0.16536643026004733,0.445,0.02,0.625,0.013333333333333334,0.29175591594142286,8487,0,0,-0.16536643026004733,-69.95000000000002
823325,2026-03-26,1000,1000.0,1000.0,0.133115,0.46499999999999997,0.08499999999999999,0.46499999999999997,0.012830000000000001,0.3374906922571986,10524,0,0,-0.133115,-133.115
823486,2026-03-26,817,817.0,1000.0,0.7597184822521419,0.585,0.585,0.975,0.013855569155446765,0.3657782074181946,20371,1,1,0.2402815177478581,196.3100000000001
823081,2026-03-26,1000,1000.0,1000.0,0.27440000000000003,0.445,0.02,0.935,0.015019999999999992,0.2892738975541133,9124,0,1,0.7256,725.6
823163,2026-03-27,1000,1000.0,1000.0,0.6658350000000001,0.635,0.525,0.785,0.012730000000000005,0.361680958299209,3175,1,0,-0.6658350000000001,-665.835
823243,2026-03-27,1000,1000.0,1000.0,0.41180500000000003,0.44,0.08499999999999999,0.505,0.012970000000000006,0.32881716874658706,4723,0,0,-0.41180500000000003,-411.805
823893,2026-03-27,1000,1000.0,1000.0,0.6339899999999998,0.635,0.63,0.635,0.01202000000000001,0.3886337531338792,7306,1,1,0.36601000000000017,366.01000000000016
824946,2026-03-27,1000,1000.0,1000.0,0.5649999999999997,0.565,0.565,0.565,0.009999999999999896,0.37383142443776196,3711,1,1,0.4350000000000003,435.0000000000003
822839,2026-03-27,1000,1000.0,1000.0,0.6119650000000001,0.61,0.605,0.615,0.014730000000000012,0.37488666243077134,6207,1,1,0.3880349999999999,388.0349999999999
824216,2026-03-28,553,553.0,1000.0,0.11490054249547921,0.555,0.02,0.555,0.016021699819168175,0.32459584664153424,8582,0,0,-0.11490054249547921,-63.54
823324,2026-03-28,498,498.0,1000.0,0.3305120481927711,0.595,0.02,0.835,0.020662650602409637,0.27502483003025435,9429,0,0,-0.3305120481927711,-164.595
823162,2026-03-28,149,149.0,1000.0,0.8386912751677851,0.575,0.44,0.98,0.015503355704697984,0.35522208523290155,6056,1,1,0.16130872483221492,24.035000000000025
823971,2026-03-28,1000,1000.0,1000.0,0.6850000000000003,0.685,0.685,0.685,0.009999999999999896,0.3308215780810139,7375,1,1,0.3149999999999997,314.9999999999997
823082,2026-03-28,1000,1000.0,1000.0,0.505,0.505,0.505,0.505,0.010000000000000009,0.3768584724364662,5965,1,1,0.495,495.0
824701,2026-03-28,1000,1000.0,1000.0,0.6849800000000003,0.675,0.675,0.685,0.009999999999999896,0.36986733320353765,2595,1,1,0.31501999999999974,315.01999999999975
822838,2026-03-28,1000,1000.0,1000.0,0.6449999999999998,0.645,0.645,0.645,0.010000000000000009,0.36777921366533045,5903,1,1,0.3550000000000002,355.0000000000002
824862,2026-03-28,1000,1000.0,1000.0,0.6050000000000002,0.605,0.605,0.605,0.010000000000000009,0.37856700621152456,8467,1,0,-0.6050000000000002,-605.0000000000002
823488,2026-03-28,1000,1000.0,1000.0,0.22299499999999997,0.46499999999999997,0.14500000000000002,0.495,0.015369999999999998,0.3261124757088751,4716,0,0,-0.22299499999999997,-222.99499999999998
823892,2026-03-28,841,841.0,1000.0,0.5807134363852557,0.645,0.22999999999999998,0.92,0.019952437574316292,0.36676070911542424,11171,1,1,0.41928656361474426,352.61999999999995
824540,2026-03-28,118,118.0,1000.0,0.5444491525423729,0.485,0.47,0.835,0.016864406779661025,0.21868739444590993,11030,1,1,0.4555508474576271,53.754999999999995
823651,2026-03-28,1000,1000.0,1000.0,0.6144650000000001,0.615,0.49,0.775,0.014350000000000007,0.38311466166468644,11965,1,1,0.38553499999999985,385.53499999999985
823811,2026-03-28,98,98.0,1000.0,0.9067346938775511,0.645,0.645,0.95,0.019999999999999966,0.33896853273149596,6937,1,1,0.09326530612244888,9.13999999999999
824213,2026-03-28,1000,1000.0,1000.0,0.555,0.555,0.555,0.555,0.010000000000000009,0.3812163614423622,6598,1,1,0.44499999999999995,444.99999999999994
823241,2026-03-28,1000,1000.0,1000.0,0.28175,0.46499999999999997,0.155,0.46499999999999997,0.018539999999999997,0.30705831906342046,5566,0,0,-0.28175,-281.75
824945,2026-03-28,1000,1000.0,1000.0,0.52226,0.585,0.07500000000000001,0.64,0.02178,0.3740965509583968,11550,1,1,0.47774000000000005,477.74000000000007
823323,2026-03-29,1000,1000.0,1000.0,0.5122349999999999,0.515,0.505,0.515,0.01105000000000001,0.38656660691302724,8436,1,1,0.4877650000000001,487.7650000000001
823973,2026-03-29,1000,1000.0,1000.0,0.60915,0.69,0.345,0.695,0.015459999999999965,0.387133869169649,19728,1,1,0.39085000000000003,390.85
823161,2026-03-29,1000,1000.0,1000.0,0.35644500000000007,0.625,0.15000000000000002,0.6799999999999999,0.012750000000000004,0.37800191393868726,16281,0,0,-0.35644500000000007,-356.44500000000005
824944,2026-03-29,1000,1000.0,1000.0,0.5944400000000001,0.59,0.59,0.595,0.01112000000000001,0.37163923396531173,5728,1,0,-0.5944400000000001,-594.44
823487,2026-03-29,1000,1000.0,1000.0,0.600095,0.595,0.595,0.605,0.010010000000000008,0.37611441148800656,6797,1,0,-0.600095,-600.095
822837,2026-03-29,1000,1000.0,1000.0,0.6009,0.585,0.585,0.945,0.011000000000000006,0.36611199412275824,10993,1,1,0.3991,399.1
824864,2026-03-29,1000,1000.0,1000.0,0.595,0.595,0.595,0.595,0.010000000000000009,0.3750945313626889,6297,1,1,0.405,405.0
823891,2026-03-29,737,737.0,1000.0,0.5027611940298508,0.635,0.045,0.645,0.017462686567164185,0.379618904416521,13341,1,1,0.49723880597014924,366.465
823647,2026-03-29,1000,1000.0,1000.0,0.6349999999999999,0.635,0.635,0.635,0.010000000000000009,0.3821507191302175,3606,1,0,-0.6349999999999999,-634.9999999999999
824538,2026-03-29,1000,1000.0,1000.0,0.481375,0.535,0.4,0.535,0.015230000000000007,0.36538453968253976,2150,0,1,0.518625,518.625
824215,2026-03-29,313,313.0,1000.0,0.49327476038338663,0.85,0.22499999999999998,0.85,0.022012779552715644,0.3773005160226545,6388,0,1,0.5067252396166133,158.60499999999996
823810,2026-03-29,1000,1000.0,1000.0,0.6050000000000002,0.605,0.605,0.605,0.010000000000000009,0.36871493125937876,5952,1,1,0.3949999999999998,394.9999999999998
823079,2026-03-29,1000,1000.0,1000.0,0.12010499999999998,0.475,0.065,0.475,0.015470000000000006,0.3415798286936938,4968,0,0,-0.12010499999999998,-120.10499999999998
824700,2026-03-29,1000,1000.0,1000.0,0.32182,0.695,0.04,0.705,0.01634,0.3263370730179772,12725,0,0,-0.32182,-321.82
823160,2026-03-29,1000,1000.0,1000.0,0.575,0.575,0.575,0.575,0.010000000000000009,0.38257823048976963,2711,1,1,0.42500000000000004,425.00000000000006
824135,2026-03-30,1000,1000.0,1000.0,0.6050000000000002,0.605,0.605,0.605,0.010000000000000009,0.33844370114789163,6788,1,1,0.3949999999999998,394.9999999999998
824863,2026-03-30,709,709.0,1000.0,0.13795486600846263,0.375,0.02,0.525,0.013878702397743305,0.28249787530596737,9526,0,0,-0.13795486600846263,-97.81
823890,2026-03-30,1000,1000.0,1000.0,0.575275,0.5700000000000001,0.5700000000000001,0.585,0.011229999999999997,0.3667924294037462,11046,1,0,-0.575275,-575.275
824539,2026-03-30,89,89.0,1000.0,0.6201123595505619,0.59,0.565,0.885,0.019325842696629184,0.19306741917724854,7542,1,1,0.3798876404494381,33.809999999999995
823484,2026-03-30,1000,1000.0,1000.0,0.6150000000000001,0.615,0.615,0.615,0.010000000000000009,0.35901624873480364,7877,1,0,-0.6150000000000001,-615.0000000000001
822834,2026-03-30,1000,1000.0,1000.0,0.7227049999999999,0.72,0.715,0.725,0.012690000000000012,0.3853937384188865,7353,1,0,-0.7227049999999999,-722.7049999999999
824943,2026-03-30,1000,1000.0,1000.0,0.5649999999999997,0.565,0.565,0.565,0.009999999999999896,0.38626445703661216,5302,1,1,0.4350000000000003,435.0000000000003
824702,2026-03-30,1,1.0,1000.0,0.85,0.85,0.85,0.85,0.020000000000000018,0.32989071105278006,0,1,1,0.15000000000000002,0.15000000000000002
823809,2026-03-30,1000,1000.0,1000.0,0.6050000000000002,0.605,0.605,0.605,0.010000000000000009,0.36649460388656185,9736,1,0,-0.6050000000000002,-605.0000000000002
823080,2026-03-30,397,397.0,1000.0,0.15988664987405543,0.38,0.025,0.485,0.014886649874055417,0.3156287259148101,8529,0,0,-0.15988664987405543,-63.47500000000001
823320,2026-03-31,1000,1000.0,1000.0,0.33743999999999996,0.525,0.08,0.565,0.018980000000000007,0.35089944690013186,2871,0,0,-0.33743999999999996,-337.43999999999994
823159,2026-03-31,85,85.0,1000.0,0.5335294117647059,0.475,0.475,0.655,0.016000000000000014,0.18747087608245944,2796,1,1,0.4664705882352941,39.65
823972,2026-03-31,1000,1000.0,1000.0,0.6264700000000001,0.635,0.625,0.635,0.010000000000000009,0.3673827609133276,4681,1,0,-0.6264700000000001,-626.47
824861,2026-03-31,1000,1000.0,1000.0,0.09232000000000001,0.225,0.03,0.46499999999999997,0.014780000000000005,0.3226286694313287,3292,0,0,-0.09232000000000001,-92.32000000000001
824537,2026-03-31,1000,1000.0,1000.0,0.09374500000000001,0.47,0.05500000000000001,0.47,0.013590000000000005,0.14425991131186433,4416,0,0,-0.09374500000000001,-93.745
823888,2026-03-31,20,20.0,1000.0,0.5589999999999999,0.565,0.545,0.565,0.00999999999999993,0.3747625232827173,25,1,1,0.44100000000000006,8.82
823485,2026-03-31,558,558.0,1000.0,0.6306541218637992,0.635,0.625,0.66,0.017186379928315426,0.3869133154737723,13187,1,1,0.3693458781362008,206.09500000000003
822836,2026-03-31,1000,1000.0,1000.0,0.7078499999999999,0.705,0.705,0.715,0.01114000000000001,0.3776100155222106,8072,1,1,0.29215000000000013,292.15000000000015
824942,2026-03-31,1000,1000.0,1000.0,0.4607,0.595,0.175,0.735,0.010940000000000005,0.3234434139669103,17346,0,0,-0.4607,-460.7
823807,2026-03-31,1000,1000.0,1000.0,0.535,0.535,0.535,0.535,0.010000000000000009,0.36613115860071505,5357,1,1,0.46499999999999997,464.99999999999994
823077,2026-03-31,45,45.0,1000.0,0.4694444444444444,0.455,0.42,0.865,0.022000000000000006,0.11562405403956855,6081,0,1,0.5305555555555557,23.875000000000004
824212,2026-04-01,1000,1000.0,1000.0,0.575,0.575,0.575,0.575,0.010000000000000009,0.33847464185160575,6086,1,1,0.42500000000000004,425.00000000000006
825107,2026-04-01,1000,1000.0,1000.0,0.5149999999999999,0.515,0.515,0.515,0.010000000000000009,0.3679152686597721,7017,1,1,0.4850000000000001,485.0000000000001
823322,2026-04-01,1000,1000.0,1000.0,0.14602500000000002,0.215,0.095,0.245,0.014510000000000004,0.35817350553386074,2626,0,0,-0.14602500000000002,-146.025
823158,2026-04-01,1000,1000.0,1000.0,0.202725,0.385,0.13,0.385,0.014549999999999993,0.338449947125841,4511,0,0,-0.202725,-202.725
823969,2026-04-01,183,183.0,1000.0,0.7168579234972677,0.715,0.715,0.74,0.010218579234972687,0.39488697781174004,10790,1,1,0.28314207650273227,51.815000000000005
824940,2026-04-01,73,73.0,1000.0,0.8815068493150684,0.675,0.655,0.975,0.010136986301369872,0.3884264106492298,10953,1,1,0.1184931506849316,8.650000000000007
824860,2026-04-01,26,26.0,1000.0,0.7667307692307692,0.545,0.53,0.885,0.024230769230769247,0.375386057625036,3167,1,1,0.23326923076923078,6.065
824536,2026-04-01,968,968.0,1000.0,0.1062706611570248,0.185,0.02,0.33499999999999996,0.015557851239669424,0.31250258425960725,8503,0,0,-0.1062706611570248,-102.87
823483,2026-04-01,1000,1000.0,1000.0,0.10430999999999999,0.8049999999999999,0.055,0.8049999999999999,0.014020000000000003,0.3686589202508161,9719,0,1,0.89569,895.6899999999999
822835,2026-04-01,1000,1000.0,1000.0,0.7271799999999998,0.725,0.685,0.885,0.010100000000000008,0.3835259880719582,12414,1,0,-0.7271799999999998,-727.1799999999998
823889,2026-04-01,987,987.0,1000.0,0.5823910840932117,0.585,0.575,0.92,0.010070921985815611,0.38574806182758037,7479,1,1,0.4176089159067883,412.18
823806,2026-04-01,1000,1000.0,1000.0,0.5727899999999999,0.575,0.565,0.575,0.009999999999999985,0.3766113411942433,7154,1,1,0.4272100000000001,427.2100000000001
824211,2026-04-01,1000,1000.0,1000.0,0.4249999999999999,0.425,0.425,0.425,0.010000000000000009,0.3801500300421065,9456,0,1,0.5750000000000002,575.0000000000002
823078,2026-04-01,253,253.0,1000.0,0.388102766798419,0.385,0.245,0.765,0.01620553359683796,0.3323173488804198,13143,0,1,0.6118972332015811,154.81
824698,2026-04-01,5,5.0,1000.0,0.6649999999999999,0.61,0.575,0.775,0.017999999999999995,0.37614594302414794,1597,1,1,0.3350000000000001,1.6750000000000003
825106,2026-04-01,66,66.0,1000.0,0.7282575757575758,0.51,0.505,0.915,0.03833333333333333,0.36425714321621583,5540,1,1,0.27174242424242423,17.935
823321,2026-04-01,515,515.0,1000.0,0.8412038834951456,0.705,0.61,0.945,0.017165048543689308,0.30875088459255584,6927,1,1,0.15879611650485437,81.78
823157,2026-04-01,1000,1000.0,1000.0,0.19736,0.4,0.025,0.505,0.013699999999999999,0.33290165028223623,6202,0,0,-0.19736,-197.36
824136,2026-04-01,195,195.0,1000.0,0.548974358974359,0.495,0.495,0.925,0.010974358974358984,0.37907223822997516,5133,1,1,0.451025641025641,87.95
823970,2026-04-02,1000,1000.0,1000.0,0.71469,0.715,0.71,0.715,0.01062000000000001,0.36420779083461446,4258,1,0,-0.71469,-714.69
824133,2026-04-02,1000,1000.0,1000.0,0.23932499999999998,0.595,0.02,0.595,0.01191,0.2992344649040296,9526,0,0,-0.23932499999999998,-239.325
822758,2026-04-03,242,242.0,1000.0,0.4546694214876034,0.605,0.02,0.615,0.011983471074380171,0.29491159212561474,3905,0,0,-0.4546694214876034,-110.03000000000003
824299,2026-04-03,1000,1000.0,1000.0,0.6240650000000001,0.62,0.62,0.625,0.011870000000000012,0.3835666038840608,6292,1,1,0.3759349999999999,375.9349999999999
823568,2026-04-03,1000,1000.0,1000.0,0.6090600000000002,0.615,0.605,0.615,0.010000000000000009,0.3841569821963107,5549,1,1,0.39093999999999984,390.9399999999998
824786,2026-04-03,3,3.0,1000.0,0.6916666666666665,0.525,0.525,0.965,0.01666666666666668,0.30873681498823274,6854,1,1,0.30833333333333346,0.9250000000000004
822919,2026-04-03,1000,1000.0,1000.0,0.6149000000000001,0.615,0.605,0.615,0.010000000000000009,0.38782591808769534,9030,1,0,-0.6149000000000001,-614.9000000000001
824458,2026-04-03,1000,1000.0,1000.0,0.4850000000000001,0.485,0.485,0.485,0.010000000000000009,0.39493099231346057,7886,0,1,0.5149999999999999,514.9999999999999
824377,2026-04-03,734,734.0,1000.0,0.04223433242506812,0.155,0.02,0.155,0.01076294277929155,0.2860857448892105,2246,0,0,-0.04223433242506812,-31.0
823406,2026-04-03,1000,1000.0,1000.0,0.47499999999999987,0.475,0.475,0.475,0.010000000000000009,0.3813228306462296,9366,0,1,0.5250000000000001,525.0000000000001
823732,2026-04-03,136,136.0,1000.0,0.5419117647058824,0.495,0.16999999999999998,0.945,0.021617647058823533,0.3489577813802809,12228,1,1,0.4580882352941176,62.29999999999999
823240,2026-04-04,1000,1000.0,1000.0,0.15331500000000003,0.32,0.035,0.345,0.017110000000000004,0.3112723282433856,3244,0,0,-0.15331500000000003,-153.31500000000003
824295,2026-04-04,31,31.0,1000.0,0.6599999999999999,0.605,0.605,0.89,0.012258064516129043,0.3893031165433033,14578,1,1,0.3400000000000001,10.540000000000003
824622,2026-04-04,1000,1000.0,1000.0,0.7498199999999999,0.59,0.5700000000000001,0.85,0.014740000000000008,0.3814511852205895,1020,1,1,0.25018000000000007,250.18000000000006
824132,2026-04-04,1000,1000.0,1000.0,0.07430500000000001,0.485,0.035,0.485,0.01177,0.24749321298817814,3865,0,0,-0.07430500000000001,-74.305
825027,2026-04-04,712,712.0,1000.0,0.054543539325842695,0.355,0.02,0.355,0.013300561797752807,0.3585344325763345,3874,0,0,-0.054543539325842695,-38.835
822757,2026-04-04,880,880.0,1000.0,0.07912500000000001,0.265,0.02,0.275,0.012272727272727274,0.3134866312865274,4955,0,0,-0.07912500000000001,-69.63000000000001
823404,2026-04-04,191,191.0,1000.0,0.3453403141361257,0.495,0.195,0.755,0.01654450261780105,0.36496145856641005,9718,0,1,0.6546596858638742,125.03999999999998
824782,2026-04-04,1000,1000.0,1000.0,0.575,0.575,0.575,0.575,0.010000000000000009,0.37052169683166636,10000,1,0,-0.575,-575.0
822920,2026-04-04,1000,1000.0,1000.0,0.09287000000000001,0.39,0.02,0.42,0.01272,0.3110822593055469,8072,0,0,-0.09287000000000001,-92.87
823569,2026-04-04,1000,1000.0,1000.0,0.15286000000000002,0.565,0.11,0.5700000000000001,0.013540000000000002,0.31573921220350026,6170,0,1,0.84714,847.14
823730,2026-04-04,1000,1000.0,1000.0,0.4850800000000001,0.495,0.485,0.495,0.010000000000000009,0.3718805040354556,10002,0,0,-0.4850800000000001,-485.0800000000001
825104,2026-04-04,86,86.0,1000.0,0.6314534883720929,0.515,0.49,0.785,0.022906976744186052,0.38155759255143995,6400,1,1,0.3685465116279071,31.695000000000007
824378,2026-04-05,1000,1000.0,1000.0,0.252725,0.29000000000000004,0.14,0.41000000000000003,0.017509999999999998,0.3640601238931255,6071,0,0,-0.252725,-252.72499999999997
823239,2026-04-05,1000,1000.0,1000.0,0.08954,0.14,0.025,0.195,0.012920000000000001,0.3222819734697259,1643,0,0,-0.08954,-89.53999999999999
824054,2026-04-05,365,365.0,1000.0,0.7269726027397261,0.585,0.555,0.885,0.0152054794520548,0.3094720535413755,7260,1,1,0.2730273972602739,99.65499999999999
