game_pk,game_date,kelly_fraction,f_star,bankroll_before,game_cap,n_entries,total_invested,avg_entry_mid,first_entry_mid,home_won,pnl_per_dollar,game_pnl,bankroll_after
823244,2026-03-26,0.125,1.1378427225152414,25000,3555.7585078601296,285,285.0,0.05150877192982456,0.22,0,-0.05150877192982456,-14.68,24985.32
823649,2026-03-26,0.125,1.1378427225152414,24985.32,3553.670566464314,3553,3553.0,0.6475035181536729,0.52,1,0.3524964818463271,1252.42,26237.739999999998
823812,2026-03-26,0.125,1.1378427225152414,26237.739999999998,3731.802689280881,655,655.0,0.6151450381679389,0.59,1,0.38485496183206114,252.08000000000004,26489.82
824704,2026-03-26,0.125,1.1378427225152414,26489.82,3767.6561134673366,3767,3767.0,0.26979426599415984,0.675,0,-0.26979426599415984,-1016.3150000000002,25473.505
824865,2026-03-26,0.125,1.1378427225152414,25473.505,3623.105285150702,2252,2252.0,0.5669404973357016,0.5700000000000001,1,0.4330595026642984,975.25,26448.755
824218,2026-03-26,0.125,1.1378427225152414,26448.755,3761.8154245423257,1141,1141.0,0.11301928133216475,0.63,0,-0.11301928133216475,-128.95499999999998,26319.8
824541,2026-03-26,0.125,1.1378427225152414,26319.8,3743.4741110070813,423,423.0,0.16536643026004733,0.445,0,-0.16536643026004733,-69.95000000000002,26249.85
823325,2026-03-26,0.125,1.1378427225152414,26249.85,3733.5250987020886,2499,2499.0,0.078609443777511,0.46499999999999997,0,-0.078609443777511,-196.445,26053.405
823486,2026-03-26,0.125,1.1378427225152414,26053.405,3705.5846594990253,817,817.0,0.7597184822521419,0.585,1,0.2402815177478581,196.3100000000001,26249.715
823081,2026-03-26,0.125,1.1378427225152414,26249.715,3733.5058976061464,1123,1123.0,0.346113089937667,0.445,1,0.653886910062333,734.3149999999999,26984.03
823163,2026-03-27,0.125,1.1378427225152414,26984.03,3837.9477699541185,3757,3757.0,0.4629398456215065,0.635,0,-0.4629398456215065,-1739.2649999999999,25244.765
823243,2026-03-27,0.125,1.1378427225152414,25244.765,3590.5715171071847,3590,3590.0,0.17578830083565458,0.44,0,-0.17578830083565458,-631.0799999999999,24613.684999999998
823893,2026-03-27,0.125,1.1378427225152414,24613.684999999998,3500.81279394157,1823,1823.0,0.649783324190894,0.635,1,0.350216675809106,638.4450000000002,25252.129999999997
824946,2026-03-27,0.125,1.1378427225152414,25252.129999999997,3591.6190435636,3591,3591.0,0.5649999999999997,0.565,1,0.4350000000000003,1562.085000000001,26814.214999999997
822839,2026-03-27,0.125,1.1378427225152414,26814.214999999997,3813.7949247136276,2639,2639.0,0.6158052292535052,0.61,1,0.3841947707464948,1013.8899999999998,27828.104999999996
824216,2026-03-28,0.125,1.1378427225152414,27828.104999999996,3958.000844455,553,553.0,0.11490054249547921,0.555,0,-0.11490054249547921,-63.54,27764.564999999995
823324,2026-03-28,0.125,1.1378427225152414,27764.564999999995,3948.9635286314224,498,498.0,0.3305120481927711,0.595,0,-0.3305120481927711,-164.595,27599.969999999994
823162,2026-03-28,0.125,1.1378427225152414,27599.969999999994,3925.5531257673724,149,149.0,0.8386912751677851,0.575,1,0.16130872483221492,24.035000000000025,27624.004999999994
823971,2026-03-28,0.125,1.1378427225152414,27624.004999999994,3928.9716319968293,2557,2557.0,0.6932655455612047,0.685,1,0.3067344544387953,784.3199999999996,28408.324999999993
823082,2026-03-28,0.125,1.1378427225152414,28408.324999999993,4040.5257325122234,4040,4040.0,0.497365099009901,0.505,1,0.502634900990099,2030.645,30438.969999999994
824701,2026-03-28,0.125,1.1378427225152414,30438.969999999994,4329.345061919969,4329,4329.0,0.6849953799953802,0.675,1,0.3150046200046198,1363.6549999999993,31802.624999999993
822838,2026-03-28,0.125,1.1378427225152414,31802.624999999993,4523.298176641409,4523,4523.0,0.34829316825116075,0.645,1,0.6517068317488393,2947.67,34750.29499999999
824862,2026-03-28,0.125,1.1378427225152414,34750.29499999999,4942.546283875971,4605,4605.0,0.36307274701411507,0.605,0,-0.36307274701411507,-1671.9499999999998,33078.344999999994
823488,2026-03-28,0.125,1.1378427225152414,33078.344999999994,4704.744266387303,4704,4704.0,0.16590561224489794,0.46499999999999997,0,-0.16590561224489794,-780.42,32297.924999999996
823892,2026-03-28,0.125,1.1378427225152414,32297.924999999996,4593.744864199134,841,841.0,0.5807134363852557,0.645,1,0.41928656361474426,352.61999999999995,32650.544999999995
824540,2026-03-28,0.125,1.1378427225152414,32650.544999999995,4643.8981268008,118,118.0,0.5444491525423729,0.485,1,0.4555508474576271,53.754999999999995,32704.299999999996
823651,2026-03-28,0.125,1.1378427225152414,32704.299999999996,4651.5437187444,2007,2007.0,0.5223542600896862,0.615,1,0.4776457399103138,958.6349999999998,33662.935
823811,2026-03-28,0.125,1.1378427225152414,33662.935,4787.890701031701,98,98.0,0.9067346938775511,0.645,1,0.09326530612244888,9.13999999999999,33672.075
824213,2026-03-28,0.125,1.1378427225152414,33672.075,4789.190686342175,4448,4448.0,0.3261072392086331,0.555,1,0.673892760791367,2997.4750000000004,36669.549999999996
823241,2026-03-28,0.125,1.1378427225152414,36669.549999999996,5215.522575676096,5027,5027.0,0.1665625621643127,0.46499999999999997,0,-0.1665625621643127,-837.31,35832.24
824945,2026-03-28,0.125,1.1378427225152414,35832.24,5096.431689427442,1253,1253.0,0.44092577813248207,0.585,1,0.559074221867518,700.52,36532.759999999995
823323,2026-03-29,0.125,1.1378427225152414,36532.759999999995,5196.066887424488,1440,1440.0,0.51515625,0.515,1,0.48484375,698.1750000000001,37230.935
823973,2026-03-29,0.125,1.1378427225152414,37230.935,5295.368555273499,1023,1023.0,0.6028885630498533,0.69,1,0.3971114369501467,406.2450000000001,37637.18
823161,2026-03-29,0.125,1.1378427225152414,37637.18,5353.148919874524,2683,2683.0,0.20044353335818116,0.625,0,-0.20044353335818116,-537.7900000000001,37099.39
824944,2026-03-29,0.125,1.1378427225152414,37099.39,5276.65886515684,2416,2416.0,0.4785326986754966,0.59,0,-0.4785326986754966,-1156.1349999999998,35943.255
823487,2026-03-29,0.125,1.1378427225152414,35943.255,5112.221390657445,3977,3977.0,0.2776866985164697,0.595,0,-0.2776866985164697,-1104.3600000000001,34838.895
822837,2026-03-29,0.125,1.1378427225152414,34838.895,4955.147892027829,1087,1087.0,0.6272861085556577,0.585,1,0.3727138914443423,405.1400000000001,35244.034999999996
824864,2026-03-29,0.125,1.1378427225152414,35244.034999999996,5012.7710921028065,2029,2029.0,0.49454657466732377,0.595,1,0.5054534253326762,1025.565,36269.6
823891,2026-03-29,0.125,1.1378427225152414,36269.6,5158.63755106735,737,737.0,0.5027611940298508,0.635,1,0.49723880597014924,366.465,36636.064999999995
823647,2026-03-29,0.125,1.1378427225152414,36636.064999999995,5210.759992730668,2801,2801.0,0.5168439842913245,0.635,0,-0.5168439842913245,-1447.6799999999998,35188.384999999995
824538,2026-03-29,0.125,1.1378427225152414,35188.384999999995,5004.85597366431,3992,3992.0,0.4372557615230461,0.535,1,0.5627442384769539,2246.475,37434.85999999999
824215,2026-03-29,0.125,1.1378427225152414,37434.85999999999,5324.372877422113,313,313.0,0.49327476038338663,0.85,1,0.5067252396166133,158.60499999999996,37593.465
823810,2026-03-29,0.125,1.1378427225152414,37593.465,5346.931320547679,5113,5113.0,0.3351955798943869,0.605,1,0.6648044201056131,3399.145,40992.60999999999
823079,2026-03-29,0.125,1.1378427225152414,40992.60999999999,5830.392870675688,2495,2495.0,0.08737875751503006,0.475,0,-0.08737875751503006,-218.01,40774.59999999999
824700,2026-03-29,0.125,1.1378427225152414,40774.59999999999,5799.385234183745,1386,1386.0,0.24523809523809523,0.695,0,-0.24523809523809523,-339.9,40434.69999999999
823160,2026-03-29,0.125,1.1378427225152414,40434.69999999999,5751.041141510877,4653,4653.0,0.5729916183107673,0.575,1,0.4270083816892327,1986.87,42421.56999999999
824135,2026-03-30,0.125,1.1378427225152414,42421.56999999999,6033.63433777136,3965,3965.0,0.6372206809583861,0.605,1,0.36277931904161387,1438.419999999999,43859.98999999999
824863,2026-03-30,0.125,1.1378427225152414,43859.98999999999,6238.2213038864065,709,709.0,0.13795486600846263,0.375,0,-0.13795486600846263,-97.81,43762.17999999999
823890,2026-03-30,0.125,1.1378427225152414,43762.17999999999,6224.309754300255,4248,4248.0,0.2101012241054614,0.5700000000000001,0,-0.2101012241054614,-892.51,42869.66999999999
824539,2026-03-30,0.125,1.1378427225152414,42869.66999999999,6097.367753266245,89,89.0,0.6201123595505619,0.59,1,0.3798876404494381,33.809999999999995,42903.47999999999
823484,2026-03-30,0.125,1.1378427225152414,42903.47999999999,6102.176561072275,4222,4222.0,0.262063003315964,0.615,0,-0.262063003315964,-1106.43,41797.04999999999
822834,2026-03-30,0.125,1.1378427225152414,41797.04999999999,5944.808645638207,1759,1759.0,0.5719698692438885,0.72,0,-0.5719698692438885,-1006.0949999999998,40790.95499999999
824943,2026-03-30,0.125,1.1378427225152414,40790.95499999999,5801.711411399586,2554,2554.0,0.577458888018794,0.565,1,0.42254111198120603,1079.1700000000003,41870.124999999985
824702,2026-03-30,0.125,1.1378427225152414,41870.124999999985,5955.202127756682,1,1.0,0.85,0.85,1,0.15000000000000002,0.15000000000000002,41870.27499999999
823809,2026-03-30,0.125,1.1378427225152414,41870.27499999999,5955.223462307729,1960,1960.0,0.5505076530612246,0.605,0,-0.5505076530612246,-1078.9950000000003,40791.279999999984
823080,2026-03-30,0.125,1.1378427225152414,40791.279999999984,5801.757636260188,397,397.0,0.15988664987405543,0.38,0,-0.15988664987405543,-63.47500000000001,40727.804999999986
823320,2026-03-31,0.125,1.1378427225152414,40727.804999999986,5792.729565408731,5703,5703.0,0.15505260389268807,0.525,0,-0.15505260389268807,-884.2650000000001,39843.539999999986
823159,2026-03-31,0.125,1.1378427225152414,39843.539999999986,5666.960253530613,85,85.0,0.5335294117647059,0.475,1,0.4664705882352941,39.65,39883.18999999999
823972,2026-03-31,0.125,1.1378427225152414,39883.18999999999,5672.5996865240795,5672,5672.0,0.4701895275035261,0.635,0,-0.4701895275035261,-2666.915,37216.27499999999
824861,2026-03-31,0.125,1.1378427225152414,37216.27499999999,5293.283458484488,1419,1419.0,0.07425651867512333,0.225,0,-0.07425651867512333,-105.37,37110.904999999984
824537,2026-03-31,0.125,1.1378427225152414,37110.904999999984,5278.296647525559,4423,4423.0,0.07912050644359034,0.47,0,-0.07912050644359034,-349.95000000000005,36760.95499999999
823888,2026-03-31,0.125,1.1378427225152414,36760.95499999999,5228.523139932533,20,20.0,0.5589999999999999,0.565,1,0.44100000000000006,8.82,36769.77499999999
823485,2026-03-31,0.125,1.1378427225152414,36769.77499999999,5229.777611534106,558,558.0,0.6306541218637992,0.635,1,0.3693458781362008,206.09500000000003,36975.86999999999
822836,2026-03-31,0.125,1.1378427225152414,36975.86999999999,5259.090573521204,1278,1278.0,0.7087793427230047,0.705,1,0.2912206572769953,372.18,37348.04999999999
824942,2026-03-31,0.125,1.1378427225152414,37348.04999999999,5312.025861579419,3371,3371.0,0.23533224562444374,0.595,0,-0.23533224562444374,-793.3049999999998,36554.74499999999
823807,2026-03-31,0.125,1.1378427225152414,36554.74499999999,5199.1938214563,2730,2730.0,0.5372582417582418,0.535,1,0.4627417582417582,1263.2849999999999,37818.029999999984
823077,2026-03-31,0.125,1.1378427225152414,37818.029999999984,5378.871276920382,45,45.0,0.4694444444444444,0.455,1,0.5305555555555557,23.875000000000004,37841.904999999984
824212,2026-04-01,0.125,1.1378427225152414,37841.904999999984,5382.267026295389,2741,2741.0,0.5855180591025173,0.575,1,0.4144819408974827,1136.095,38977.999999999985
825107,2026-04-01,0.125,1.1378427225152414,38977.999999999985,5543.854204774883,5543,5543.0,0.2510274219736604,0.515,1,0.7489725780263397,4151.555,43129.554999999986
823322,2026-04-01,0.125,1.1378427225152414,43129.554999999986,6134.331285258853,3238,3238.0,0.08217572575663991,0.215,0,-0.08217572575663991,-266.08500000000004,42863.46999999999
823158,2026-04-01,0.125,1.1378427225152414,42863.46999999999,6096.485925156295,2827,2827.0,0.10557127697205519,0.385,0,-0.10557127697205519,-298.45000000000005,42565.01999999999
823969,2026-04-01,0.125,1.1378427225152414,42565.01999999999,6054.037280089461,183,183.0,0.7168579234972677,0.715,1,0.28314207650273227,51.815000000000005,42616.83499999999
824940,2026-04-01,0.125,1.1378427225152414,42616.83499999999,6061.406945172853,73,73.0,0.8815068493150684,0.675,1,0.1184931506849316,8.650000000000007,42625.48499999999
824860,2026-04-01,0.125,1.1378427225152414,42625.48499999999,6062.637237616573,26,26.0,0.7667307692307692,0.545,1,0.23326923076923078,6.065,42631.549999999996
824536,2026-04-01,0.125,1.1378427225152414,42631.549999999996,6063.499864630579,968,968.0,0.1062706611570248,0.185,0,-0.1062706611570248,-102.87,42528.67999999999
823483,2026-04-01,0.125,1.1378427225152414,42528.67999999999,6048.868629522436,1546,1546.0,0.19471216041397152,0.8049999999999999,1,0.8052878395860285,1244.975,43773.65499999999
822835,2026-04-01,0.125,1.1378427225152414,43773.65499999999,6225.941847455362,1171,1171.0,0.7008326216908624,0.725,0,-0.7008326216908624,-820.6749999999998,42952.97999999999
823889,2026-04-01,0.125,1.1378427225152414,42952.97999999999,6109.216962917838,987,987.0,0.5823910840932117,0.585,1,0.4176089159067883,412.18,43365.15999999999
823806,2026-04-01,0.125,1.1378427225152414,43365.15999999999,6167.84146458863,1716,1716.0,0.5647348484848485,0.575,1,0.43526515151515155,746.9150000000001,44112.07499999999
824211,2026-04-01,0.125,1.1378427225152414,44112.07499999999,6274.0754392245635,1756,1756.0,0.4361275626423689,0.425,1,0.5638724373576312,990.1600000000003,45102.23499999999
823078,2026-04-01,0.125,1.1378427225152414,45102.23499999999,6414.906232990275,253,253.0,0.388102766798419,0.385,1,0.6118972332015811,154.81,45257.04499999999
824698,2026-04-01,0.125,1.1378427225152414,45257.04499999999,6436.924911974348,5,5.0,0.6649999999999999,0.61,1,0.3350000000000001,1.6750000000000003,45258.719999999994
825106,2026-04-01,0.125,1.1378427225152414,45258.719999999994,6437.163147794375,66,66.0,0.7282575757575758,0.51,1,0.27174242424242423,17.935,45276.65499999999
823321,2026-04-01,0.125,1.1378427225152414,45276.65499999999,6439.714048947913,515,515.0,0.8412038834951456,0.705,1,0.15879611650485437,81.78,45358.43499999999
823157,2026-04-01,0.125,1.1378427225152414,45358.43499999999,6451.3456461788255,2541,2541.0,0.1015112160566706,0.4,0,-0.1015112160566706,-257.94,45100.49499999999
824136,2026-04-01,0.125,1.1378427225152414,45100.49499999999,6414.658752198127,195,195.0,0.548974358974359,0.495,1,0.451025641025641,87.95,45188.444999999985
823970,2026-04-02,0.125,1.1378427225152414,45188.444999999985,6427.167910628779,5175,5175.0,0.44812657004830914,0.715,0,-0.44812657004830914,-2319.055,42869.389999999985
824133,2026-04-02,0.125,1.1378427225152414,42869.389999999985,6097.3279287709565,1026,1026.0,0.23500487329434697,0.595,0,-0.23500487329434697,-241.11499999999998,42628.27499999999
822758,2026-04-03,0.125,1.1378427225152414,42628.27499999999,6063.034060266049,242,242.0,0.4546694214876034,0.605,0,-0.4546694214876034,-110.03000000000003,42518.24499999999
824299,2026-04-03,0.125,1.1378427225152414,42518.24499999999,6047.384455921255,1644,1644.0,0.6238868613138686,0.62,1,0.3761131386861314,618.33,43136.57499999999
823568,2026-04-03,0.125,1.1378427225152414,43136.57499999999,6135.329742247861,2531,2531.0,0.6024338206242593,0.615,1,0.3975661793757407,1006.2399999999997,44142.81499999999
824786,2026-04-03,0.125,1.1378427225152414,44142.81499999999,6278.447599885828,3,3.0,0.6916666666666665,0.525,1,0.30833333333333346,0.9250000000000004,44143.73999999999
